year,region,province,forest_type,area_hectares
2015,ARMM,Basilan,Closed Forest,10845.76178
2015,ARMM,Basilan,Mangrove Forest,9708.888161
2015,ARMM,Basilan,Open Forest,2830.07912
2015,ARMM,Lanao del Sur,Closed Forest,63269.74137
2015,ARMM,Lanao del Sur,Mangrove Forest,461.397678
2015,ARMM,Lanao del Sur,Open Forest,89658.83646
2015,ARMM,Maguindanao,Closed Forest,11444.50386
2015,ARMM,Maguindanao,Mangrove Forest,1509.238827
2015,ARMM,Maguindanao,Open Forest,41184.01515
2015,ARMM,Sulu,Closed Forest,0
2015,ARMM,Sulu,Mangrove Forest,26557.69916
2015,ARMM,Sulu,Open Forest,2209.01876
2015,ARMM,Tawi-tawi,Closed Forest,0
2015,ARMM,Tawi-tawi,Mangrove Forest,14284.66441
2015,ARMM,Tawi-tawi,Open Forest,27565.4443
2015,CAR,Abra,Closed Forest,44797.64319
2015,CAR,Abra,Mangrove Forest,0
2015,CAR,Abra,Open Forest,118133.1159
2015,CAR,Apayao,Closed Forest,102083.7365
2015,CAR,Apayao,Mangrove Forest,0
2015,CAR,Apayao,Open Forest,134269.759
2015,CAR,Benguet,Closed Forest,3084.313759
2015,CAR,Benguet,Mangrove Forest,0
2015,CAR,Benguet,Open Forest,106385.4313
2015,CAR,Ifugao,Closed Forest,19045.21885
2015,CAR,Ifugao,Mangrove Forest,0
2015,CAR,Ifugao,Open Forest,71533.0071
2015,CAR,Kalinga,Closed Forest,53225.34608
2015,CAR,Kalinga,Mangrove Forest,0
2015,CAR,Kalinga,Open Forest,60654.36061
2015,CAR,Mountain Province,Closed Forest,28308.71935
2015,CAR,Mountain Province,Mangrove Forest,0
2015,CAR,Mountain Province,Open Forest,65698.91583
2015,MIMAROPA,Marinduque,Closed Forest,0
2015,MIMAROPA,Marinduque,Mangrove Forest,3011.655997
2015,MIMAROPA,Marinduque,Open Forest,10892.73701
2015,MIMAROPA,Occidental Mindoro,Closed Forest,8936.863453
2015,MIMAROPA,Occidental Mindoro,Mangrove Forest,1825.292934
2015,MIMAROPA,Occidental Mindoro,Open Forest,107663.4503
2015,MIMAROPA,Oriental Mindoro,Closed Forest,5906.272148
2015,MIMAROPA,Oriental Mindoro,Mangrove Forest,3088.100633
2015,MIMAROPA,Oriental Mindoro,Open Forest,88232.94995
2015,MIMAROPA,Palawan,Closed Forest,91541.34638
2015,MIMAROPA,Palawan,Mangrove Forest,59421.2007
2015,MIMAROPA,Palawan,Open Forest,543496.4972
2015,MIMAROPA,Romblon,Closed Forest,3776.611173
2015,MIMAROPA,Romblon,Mangrove Forest,1057.96955
2015,MIMAROPA,Romblon,Open Forest,18917.9966
2015,NCR,Metro Manila,Closed Forest,0
2015,NCR,Metro Manila,Mangrove Forest,105.8004127
2015,NCR,Metro Manila,Open Forest,2000.401991
2015,Region 1,Ilocos Norte,Closed Forest,19824.82699
2015,Region 1,Ilocos Norte,Mangrove Forest,36.36897776
2015,Region 1,Ilocos Norte,Open Forest,56191.91847
2015,Region 1,Ilocos Sur,Closed Forest,26.59052758
2015,Region 1,Ilocos Sur,Mangrove Forest,49.19790321
2015,Region 1,Ilocos Sur,Open Forest,36930.67551
2015,Region 1,La Union,Closed Forest,0
2015,Region 1,La Union,Mangrove Forest,151.9254906
2015,Region 1,La Union,Open Forest,7770.614767
2015,Region 1,Pangasinan,Closed Forest,4311.627866
2015,Region 1,Pangasinan,Mangrove Forest,1140.720192
2015,Region 1,Pangasinan,Open Forest,21167.95898
2015,Region 10,Bukidnon,Closed Forest,126626.2677
2015,Region 10,Bukidnon,Mangrove Forest,0
