year,region,country,permanent,temporary,irregular ,total,new_hires_2003,new_hires_2012
2000,World,World Total,2551549,2991125,1840448,7383122,-,-
2000,Africa,Africa Total,269,22024,9718,32011,-,-
2000,Africa,Egypt,53,850,1000,1903,-,-
2000,Africa,Libya,75,4300,500,4875,-,-
2000,Africa,Others or Unspecified,141,16874,8218,25233,-,-
2000,East and South Asia,East and South Asia Total,64214,922283,734347,1720844,-,-
2000,East and South Asia,Brunei,26,22657,738,23421,-,-
2000,East and South Asia,Hong Kong,404,148844,500,149748,-,-
2000,East and South Asia,Japan,59626,133631,16369,209626,-,-
2000,East and South Asia,South Korea,1448,10312,15273,27033,-,-
2000,East and South Asia,Malaysia,309,85118,509564,594991,-,-
2000,East and South Asia,Singapore,152,54555,65000,119707,-,-
2000,East and South Asia,Taiwan,1853,114926,4300,121079,-,-
2000,East and South Asia,Others or Unspecified,396,352240,122603,475239,-,-
2000,West Asia,West Asia Total,999,1114580,108062,1223641,-,-
2000,West Asia,Bahrain,61,21000,4000,25061,-,-
2000,West Asia,Israel,41,9439,20711,30191,-,-
2000,West Asia,Kuwait,90,35000,15000,50090,-,-
2000,West Asia,Lebanon,19,16495,2000,18514,-,-
2000,West Asia,Oman,18,24834,1500,26352,-,-
2000,West Asia,Qatar,13,32000,1000,33013,-,-
2000,West Asia,Saudi Arabia,234,829300,25700,855234,-,-
2000,West Asia,United Arab Emirates,352,103782,20000,124134,-,-
2000,West Asia,Others or Unspecified,171,42730,18151,61052,-,-
2000,Europe,Europe Total,147408,446632,207995,802035,-,-
2000,Europe,Austria,3166,1156,2000,6322,-,-
2000,Europe,France,865,4685,18050,23600,-,-
2000,Europe,Germany,32497,751,5000,38248,-,-
2000,Europe,Greece,84,33691,37527,71302,-,-
2000,Europe,Italy,1608,65861,62531,130000,-,-
2000,Europe,Netherlands,12208,717,3000,15925,-,-
2000,Europe,Spain ,33979,3113,4000,41092,-,-
2000,Europe,Switzerland,626,5933,9847,16406,-,-
2000,Europe,United Kingdom,45713,5450,2500,53663,-,-
2000,Europe,Others or Unspecified,16662,325275,63540,405477,-,-
2000,Americas or Trust Territories ,Americas or Trust Territories Total,2120708,252648,764200,3137556,-,-
2000,Americas or Trust Territories ,Canada,277744,27550,5200,310494,-,-
2000,Americas or Trust Territories ,United States,1804288,59767,278000,2142055,-,-
2000,Americas or Trust Territories ,Commonwealth of the Northern Mariana Islands,79,20000,500,20579,-,-
2000,Americas or Trust Territories ,Guam,38319,753,2000,41072,-,-
2000,Americas or Trust Territories ,Others or Unspecified,278,144578,478500,623356,-,-
2000,Oceania,Oceania Total,217951,34634,16126,268711,-,-
2000,Oceania,Australia,202110,660,2000,204770,-,-
2000,Oceania,New Zealand,15761,179,100,16040,-,-
2000,Oceania,Papua New Guinea,63,1474,4526,6063,-,-
2000,Oceania,Others or Unspecified,17,32321,9500,41838,-,-
2000,Seabased Workers,Seabased Workers,-,198324,-,198324,-,-
2001,World,World Total,2736528,3049622,1625936,7412086,-,-
2001,Africa ,Africa Total,271,46515,18114,64900,-,-
